id,hz,py,hv,level,topicId,patterns
r-bao,包,bāo,bao,HSK1,t-hsk1-anuong,"[{""formula"": ""包+___"", ""meaning"": ""đồ ăn bọc nhân"", ""wordIds"": [""w-baozi""]}, {""formula"": ""___+包"", ""meaning"": ""thực phẩm dạng bánh làm bằng bột mỳ"", ""wordIds"": [""w-mianbao""]}]"
r-chi,吃,chī,ngật,HSK1,t-hsk1-anuong,"[{""formula"": ""吃+___"", ""meaning"": ""hành động ăn uống"", ""wordIds"": [""w-chifan""]}, {""formula"": ""___+吃"", ""meaning"": ""cảm nhận khi ăn"", ""wordIds"": [""w-haochi""]}]"
r-dian,店,diàn,điếm,HSK1,t-hsk1-anuong,"[{""formula"": ""___+店"", ""meaning"": ""cửa hàng / địa điểm kinh doanh"", ""wordIds"": [""w-shudian"", ""w-shangdian"", ""w-fandian""]}]"
r-fan,饭,fàn,phạn,HSK1,t-hsk1-anuong,"[{""formula"": ""饭+___"", ""meaning"": ""địa điểm ăn uống"", ""wordIds"": [""w-fandian"", ""w-fanguan""]}, {""formula"": ""___+饭"", ""meaning"": ""liên quan đến ăn uống, bữa ăn"", ""wordIds"": [""w-wufan"", ""w-zaofan"", ""w-wanfan"", ""w-chifan"", ""w-mifan""]}]"
r-guo,果,guǒ,quả,HSK1,t-hsk1-anuong,"[{""formula"": ""___+果"", ""meaning"": ""loại trái cây"", ""wordIds"": [""w-shuiguo"", ""w-pingguo""]}]"
r-mian,面,miàn,diện,HSK1,t-hsk1-anuong,"[{""formula"": ""面+___"", ""meaning"": ""thực phẩm từ bột mì"", ""wordIds"": [""w-mianbao"", ""w-miantiao""]}]"
r-jia,家,jiā,gia,HSK1,t-hsk1-connguoi,"[{""formula"": ""家+___"", ""meaning"": ""phạm vi gia đình / nhà"", ""wordIds"": [""w-jiali"", ""w-jiaren""]}, {""formula"": ""___+家"", ""meaning"": ""hoạt động liên quan nhà"", ""wordIds"": [""w-huijia"", ""w-zaijia""]}]"
r-men,们,men,môn,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+们"", ""meaning"": ""hậu tố số nhiều"", ""wordIds"": [""w-tamen"", ""w-nimen"", ""w-tamen2"", ""w-tamen3""]}]"
r-nan,男,nán,nam,HSK1,t-hsk1-connguoi,"[{""formula"": ""男+___"", ""meaning"": ""phái nam"", ""wordIds"": [""w-nanren"", ""w-nanpengyou""]}]"
r-n,女,nǚ,nữ,HSK1,t-hsk1-connguoi,"[{""formula"": ""女+___"", ""meaning"": ""phái nữ"", ""wordIds"": [""w-nren"", ""w-ner"", ""w-nshi"", ""w-npengyou""]}]"
r-pengyou,朋友,péng yǒu,bằng hữu,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+朋友"", ""meaning"": ""quan hệ bạn bè"", ""wordIds"": [""w-npengyou"", ""w-xiaopengyou"", ""w-nanpengyou""]}]"
r-ren,人,rén,nhân,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+人"", ""meaning"": ""loại người theo đặc điểm"", ""wordIds"": [""w-nren"", ""w-jiaren"", ""w-gongren"", ""w-nanren"", ""w-bingren""]}]"
r-sheng,生,shēng,sinh,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+生"", ""meaning"": ""nghề nghiệp"", ""wordIds"": [""w-zhongxuesheng"", ""w-xiansheng"", ""w-yisheng"", ""w-daxuesheng"", ""w-xuesheng"", ""w-xiaoxuesheng""]}]"
r-de,的,de,đích,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+的"", ""meaning"": ""trợ từ / hậu tố tình thái"", ""wordIds"": [""w-youde"", ""w-zhende""]}]"
r-zi,子,zi,tử,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+子"", ""meaning"": ""hậu tố danh từ"", ""wordIds"": [""w-erzi"", ""w-baozi"", ""w-haizi"", ""w-beizi"", ""w-zhuozi"", ""w-yizi""]}]"
r-dian2,电,diàn,điện,HSK1,t-hsk1-congnghe,"[{""formula"": ""电+___"", ""meaning"": ""thiết bị / phương tiện điện tử"", ""wordIds"": [""w-diannao"", ""w-dianshi"", ""w-dianshiji"", ""w-dianhua""]}]"
r-ji,机,jī,cơ,HSK1,t-hsk1-congnghe,"[{""formula"": ""机+___"", ""meaning"": ""địa điểm / cơ sở"", ""wordIds"": [""w-jichang""]}, {""formula"": ""___+机"", ""meaning"": ""thiết bị / máy móc"", ""wordIds"": [""w-shouji"", ""w-dianshiji"", ""w-feiji""]}]"
r-zuo,作,zuò,tác,HSK1,t-hsk1-congviec,"[{""formula"": ""___+作"", ""meaning"": ""tham gia vào một hoạt động nào đó"", ""wordIds"": [""w-dongzuo"", ""w-gongzuo""]}]"
r-qing,请,qǐng,thỉnh,HSK1,t-hsk1-congviec,"[{""formula"": ""请+___"", ""meaning"": ""lời mời / yêu cầu lịch sự"", ""wordIds"": [""w-qingzuo"", ""w-qingjin"", ""w-qingwen""]}]"
r-yuan,员,yuán,viên,HSK1,t-hsk1-congviec,"[{""formula"": ""___+员"", ""meaning"": ""nhân viên"", ""wordIds"": [""w-fuwuyuan"", ""w-shouhuoyuan""]}]"
r-gong,工,gōng,công,HSK1,t-hsk1-congviec,"[{""formula"": ""工+___"", ""meaning"": ""liên quan đến công việc"", ""wordIds"": [""w-gongren"", ""w-gongzuo"", ""w-gongzuo""]}]"
r-che,车,chē,xa,HSK1,t-hsk1-dichuyen,"[{""formula"": ""车+___"", ""meaning"": ""vị trí / vật liên quan xe"", ""wordIds"": [""w-cheshang"", ""w-chepiao""]}, {""formula"": ""___+车"", ""meaning"": ""loại xe / hoạt động với xe"", ""wordIds"": [""w-shangche"", ""w-xiache"", ""w-chuzuche"", ""w-kaiche"", ""w-qiche"", ""w-huoche""]}]"
r-chu,出,chū,xuất,HSK1,t-hsk1-dichuyen,"[{""formula"": ""出+___"", ""meaning"": ""hành động hướng ra ngoài"", ""wordIds"": [""w-chulai"", ""w-chuzuche""]}]"
r-dao,到,dào,đến,HSK1,t-hsk1-dichuyen,"[{""formula"": ""___+到"", ""meaning"": ""bổ ngữ kết quả (đạt được)"", ""wordIds"": [""w-tingdao"", ""w-huidao"", ""w-zhaodao"", ""w-laidao"", ""w-kandao""]}]"
r-hui,回,huí,hồi,HSK1,t-hsk1-dichuyen,"[{""formula"": ""回+___"", ""meaning"": ""hành động quay về một địa điểm nào đó"", ""wordIds"": [""w-huidao"", ""w-huijia""]}]"
r-lai,来,lái,lai,HSK1,t-hsk1-dichuyen,"[{""formula"": ""来+___"", ""meaning"": ""đến đâu đó"", ""wordIds"": [""w-laidao""]}, {""formula"": ""___+来"", ""meaning"": ""bổ ngữ hướng (lại gần)"", ""wordIds"": [""w-chulai"", ""w-qilai"", ""w-jinlai""]}]"
r-bian,边,biān,biên,HSK1,t-hsk1-diadiem,"[{""formula"": ""___+边"", ""meaning"": ""phương hướng / vị trí"", ""wordIds"": [""w-shangbian"", ""w-xiabian"", ""w-dongbian"", ""w-qianbian"", ""w-beibian"", ""w-nanbian"", ""w-houbian"", ""w-waibian"", ""w-xibian"", ""w-zhebian"", ""w-nabian"", ""w-libian""]}]"
r-guo2,国,guó,quốc,HSK1,t-hsk1-diadiem,"[{""formula"": ""国+___"", ""meaning"": ""phạm vi bên ngoài quốc gia"", ""wordIds"": [""w-guowai""]}, {""formula"": ""___+国"", ""meaning"": ""tên nước cụ thể"", ""wordIds"": [""w-zhongguo""]}]"
r-li,里,lǐ,lý,HSK1,t-hsk1-diadiem,"[{""formula"": ""里+___"", ""meaning"": ""phía trong / vị trí bên trong"", ""wordIds"": [""w-libian""]}, {""formula"": ""___+里"", ""meaning"": ""vị trí / địa điểm"", ""wordIds"": [""w-nali"", ""w-jiali"", ""w-zheli"", ""w-nali2""]}]"
r-lou,楼,lóu,lâu,HSK1,t-hsk1-diadiem,"[{""formula"": ""楼+___"", ""meaning"": ""vị trí trong tòa nhà"", ""wordIds"": [""w-loushang"", ""w-louxia""]}, {""formula"": ""___+楼"", ""meaning"": ""tòa nhà / công trình"", ""wordIds"": [""w-jiaoxuelou""]}]"
r-na,那,nà,na,HSK1,t-hsk1-diadiem,"[{""formula"": ""那+___"", ""meaning"": ""chỉ định từ xa (đó / kia)"", ""wordIds"": [""w-nage2"", ""w-naxie"", ""w-nar"", ""w-nabian"", ""w-nali2""]}]"
r-na2,哪,nǎ,na,HSK1,t-hsk1-diadiem,"[{""formula"": ""哪+___"", ""meaning"": ""từ để hỏi về vị trí (nào / đâu)"", ""wordIds"": [""w-nage"", ""w-naxie2"", ""w-nar2"", ""w-nali""]}]"
r-qian,前,qián,tiền,HSK1,t-hsk1-diadiem,"[{""formula"": ""前+___"", ""meaning"": ""vị trí phía trước"", ""wordIds"": [""w-qianbian"", ""w-qianmian""]}]"
r-shang,上,shàng,thượng,HSK1,t-hsk1-diadiem,"[{""formula"": ""上+___"", ""meaning"": ""vị trí phía trên"", ""wordIds"": [""w-shangbian""]}, {""formula"": ""上+___"", ""meaning"": ""thời gian / thứ tự trước"", ""wordIds"": [""w-shangwu"", ""w-shangci""]}, {""formula"": ""上+___"", ""meaning"": ""hành động bắt đầu / đi đến"", ""wordIds"": [""w-shangxue"", ""w-shangban"", ""w-shangke"", ""w-shangche""]}, {""formula"": ""___+上"", ""meaning"": ""vị trí cụ thể phía trên"", ""wordIds"": [""w-loushang"", ""w-shenshang"", ""w-cheshang"", ""w-dishang""]}, {""formula"": ""___+上"", ""meaning"": ""bổ ngữ kết quả (đóng lại)"", ""wordIds"": [""w-guanshang""]}, {""formula"": ""___+上"", ""meaning"": ""thời điểm trong ngày"", ""wordIds"": [""w-zaoshang"", ""w-wanshang""]}]"
r-wai,外,wài,ngoại,HSK1,t-hsk1-diadiem,"[{""formula"": ""外+___"", ""meaning"": ""vị trí bên ngoài"", ""wordIds"": [""w-waibian""]}, {""formula"": ""___+外"", ""meaning"": ""phạm vi bên ngoài khu vực nào đó"", ""wordIds"": [""w-guowai""]}]"
r-xia,下,xià,hạ,HSK1,t-hsk1-diadiem,"[{""formula"": ""下+___"", ""meaning"": ""vị trí phía dưới"", ""wordIds"": [""w-xiabian""]}, {""formula"": ""下+___"", ""meaning"": ""thứ tự sau / kế tiếp"", ""wordIds"": [""w-xiaci""]}, {""formula"": ""下+___"", ""meaning"": ""kết thúc / rời khỏi"", ""wordIds"": [""w-xiaban"", ""w-xiake"", ""w-xiache""]}, {""formula"": ""下+___"", ""meaning"": ""hiện tượng tự nhiên"", ""wordIds"": [""w-xiayu""]}, {""formula"": ""___+下"", ""meaning"": ""bổ ngữ xu hướng"", ""wordIds"": [""w-louxia"", ""w-zuoxia""]}]"
r-yuan2,院,yuàn,viện,HSK1,t-hsk1-diadiem,"[{""formula"": ""___+院"", ""meaning"": ""cơ sở / địa điểm công cộng"", ""wordIds"": [""w-yiyuan"", ""w-xueyuan"", ""w-dianyingyuan""]}]"
r-zhong,中,zhōng,trung,HSK1,t-hsk1-diadiem,"[{""formula"": ""中+___"", ""meaning"": ""thời gian giữa"", ""wordIds"": [""w-zhongwu""]}, {""formula"": ""中+___"", ""meaning"": ""cấp học trung học"", ""wordIds"": [""w-zhongxue"", ""w-zhongxuesheng""]}]"
r-zhe,这,zhè,già,HSK1,t-hsk1-diadiem,"[{""formula"": ""这+___"", ""meaning"": ""chỉ vị trí gần (này / đây)"", ""wordIds"": [""w-zhege"", ""w-zhexie"", ""w-zher"", ""w-zhebian"", ""w-zheli""]}]"
r-xia2,下,xià,hạ,HSK1,t-hsk1-hoatdongdoithuong,"[{""formula"": ""下+___"", ""meaning"": ""vị trí phía dưới"", ""wordIds"": [""w-xiabian""]}, {""formula"": ""下+___"", ""meaning"": ""thứ tự sau / kế tiếp"", ""wordIds"": [""w-xiaci""]}, {""formula"": ""下+___"", ""meaning"": ""kết thúc / rời khỏi"", ""wordIds"": [""w-xiaban"", ""w-xiake"", ""w-xiache""]}, {""formula"": ""下+___"", ""meaning"": ""hiện tượng tự nhiên"", ""wordIds"": [""w-xiayu""]}, {""formula"": ""___+下"", ""meaning"": ""bổ ngữ xu hướng"", ""wordIds"": [""w-louxia"", ""w-zuoxia""]}]"
r-qi,起,qǐ,khởi,HSK1,t-hsk1-hoatdong,"[{""formula"": ""起+___"", ""meaning"": ""hành động đứng dậy / thức dậy"", ""wordIds"": [""w-qichuang"", ""w-qilai""]}]"
r-da,打,dǎ,đả,HSK1,t-hsk1-hoatdong,"[{""formula"": ""打+___"", ""meaning"": ""thực hiện hành động"", ""wordIds"": [""w-daqiu"", ""w-dadianhua""]}]"
r-kan,看,kàn,khan,HSK1,t-hsk1-hoatdong,"[{""formula"": ""看+___"", ""meaning"": ""hành động liên quan đến thị giác"", ""wordIds"": [""w-kandao"", ""w-kanjian"", ""w-kanbing""]}, {""formula"": ""___+看"", ""meaning"": ""cảm nhận, đánh giá về ngoại hình"", ""wordIds"": [""w-haokan""]}]"
r-ting,听,tīng,thính,HSK1,t-hsk1-hoatdong,"[{""formula"": ""听+___"", ""meaning"": ""hành động / kết quả nghe"", ""wordIds"": [""w-tingxie"", ""w-tingdao"", ""w-tingjian""]}]"
r-wan,玩,wán,ngoạn,HSK1,t-hsk1-hoatdong,"[{""formula"": ""玩+___"", ""meaning"": ""chơi"", ""wordIds"": [""w-wanr""]}, {""formula"": ""___+玩"", ""meaning"": ""cảm nhận, đánh giá về hoạt động vui chơi"", ""wordIds"": [""w-haowanr""]}]"
r-zai,在,zài,tại,HSK1,t-hsk1-hoatdong,"[{""formula"": ""___+在"", ""meaning"": ""thời điểm hiện tại"", ""wordIds"": [""w-zhengzai"", ""w-xianzai""]}]"
r-jian,见,jiàn,kiến,HSK1,t-hsk1-hoatdong,"[{""formula"": ""见+___"", ""meaning"": ""gặp mặt, gặp gỡ"", ""wordIds"": [""w-jianmian""]}, {""formula"": ""___+见"", ""meaning"": ""bổ ngữ kết quả cảm nhận"", ""wordIds"": [""w-tingjian"", ""w-kanjian""]}]"
r-ban,班,bān,ban,HSK1,t-hsk1-giaoduc,"[{""formula"": ""___+班"", ""meaning"": ""hoạt động đi làm / tan làm"", ""wordIds"": [""w-shangban"", ""w-xiaban""]}]"
r-han,汉,hàn,hán,HSK1,t-hsk1-giaoduc,"[{""formula"": ""汉+___"", ""meaning"": ""văn hóa / ngôn ngữ Trung Quốc"", ""wordIds"": [""w-hanzi"", ""w-hanyu""]}]"
r-hua,话,huà,thoại,HSK1,t-hsk1-giaoduc,"[{""formula"": ""___+话"", ""meaning"": ""giao tiếp / thiết bị giao tiếp"", ""wordIds"": [""w-dadianhua"", ""w-dianhua"", ""w-shuohua""]}]"
r-ke,课,kè,khóa,HSK1,t-hsk1-giaoduc,"[{""formula"": ""课+___"", ""meaning"": ""tài liệu / vật dụng học tập"", ""wordIds"": [""w-kewen"", ""w-keben""]}, {""formula"": ""___+课"", ""meaning"": ""hoạt động đi học / tan học"", ""wordIds"": [""w-shangke"", ""w-xiake""]}]"
r-shu,书,shū,thư,HSK1,t-hsk1-giaoduc,"[{""formula"": ""书+___"", ""meaning"": ""địa điểm liên quan sách"", ""wordIds"": [""w-shudian""]}, {""formula"": ""___+书"", ""meaning"": ""hoạt động liên quan tới sách"", ""wordIds"": [""w-dushu""]}]"
r-wen,文,wén,văn,HSK1,t-hsk1-giaoduc,"[{""formula"": ""___+文"", ""meaning"": ""ngôn ngữ / văn bản"", ""wordIds"": [""w-zhongwen"", ""w-kewen""]}]"
r-xue,学,xué,học,HSK1,t-hsk1-giaoduc,"[{""formula"": ""学+___"", ""meaning"": ""hoạt động / nơi học tập"", ""wordIds"": [""w-xuexi"", ""w-xuexiao"", ""w-xuesheng"", ""w-xueyuan""]}, {""formula"": ""___+学"", ""meaning"": ""cấp bậc / loại hình học"", ""wordIds"": [""w-shangxue"", ""w-zhongxue"", ""w-tongxue"", ""w-daxue"", ""w-xiaoxue""]}]"
r-zhi,知,zhī,tri,HSK1,t-hsk1-giaoduc,"[{""formula"": ""知+___"", ""meaning"": ""liên quan đến kiến thức, nhận biết"", ""wordIds"": [""w-zhishi"", ""w-zhidao""]}]"
r-zi2,字,zì,tự,HSK1,t-hsk1-giaoduc,"[{""formula"": ""___+字"", ""meaning"": ""chữ viết / tên gọi"", ""wordIds"": [""w-mingzi"", ""w-hanzi""]}]"
r-da2,大,dà,đại,HSK1,t-hsk1-tinhchat,"[{""formula"": ""大+___"", ""meaning"": ""chỉ cơ sở học tập hoặc một nhóm người"", ""wordIds"": [""w-daxue"", ""w-daxuesheng"", ""w-dajia""]}, {""formula"": ""___+大"", ""meaning"": ""phủ định kích thước / tính chất"", ""wordIds"": [""w-buda""]}]"
r-dian3,点,diǎn,điểm,HSK1,t-hsk1-tinhchat,"[{""formula"": ""___+点"", ""meaning"": ""một chút / số lượng nhỏ"", ""wordIds"": [""w-yidianr"", ""w-youdianr""]}]"
r-hao,好,hǎo,hảo,HSK1,t-hsk1-tinhchat,"[{""formula"": ""好+___"", ""meaning"": ""đánh giá chất lượng cảm nhận"", ""wordIds"": [""w-haochi"", ""w-haoting"", ""w-haowanr"", ""w-haokan""]}]"
r-xiao,小,xiǎo,tiểu,HSK1,t-hsk1-tinhchat,"[{""formula"": ""小+___"", ""meaning"": ""cấp học / người thuộc cấp học"", ""wordIds"": [""w-xiaoxue"", ""w-xiaoxuesheng""]}, {""formula"": ""小+___"", ""meaning"": ""đối tượng trẻ / nhỏ tuổi"", ""wordIds"": [""w-xiaojie"", ""w-xiaopengyou""]}]"
r-yi,一,yī,nhất,HSK1,t-hsk1-tinhchat,"[{""formula"": ""一+___"", ""meaning"": ""số lượng / mức độ nhỏ"", ""wordIds"": [""w-yixiar"", ""w-yixie"", ""w-yiban"", ""w-yidianr""]}]"
r-you,有,yǒu,hữu,HSK1,t-hsk1-tinhchat,"[{""formula"": ""有+___"", ""meaning"": ""thể hiện số lượng (không xác định)"", ""wordIds"": [""w-youxie"", ""w-youshihou"", ""w-youdianr"", ""w-youde""]}]"
r-ge,个,gè,cá,HSK1,t-hsk1-soluong,"[{""formula"": ""___+个"", ""meaning"": ""đại từ chỉ định"", ""wordIds"": [""w-nage"", ""w-zhege"", ""w-nage2""]}]"
r-xie,些,xiē,tả,HSK1,t-hsk1-soluong,"[{""formula"": ""___+些"", ""meaning"": ""hậu tố số nhiều / số lượng"", ""wordIds"": [""w-yixie"", ""w-naxie2"", ""w-youxie"", ""w-zhexie"", ""w-naxie""]}]"
r-bing,病,bìng,bệnh,HSK1,t-hsk1-suckhoe,"[{""formula"": ""病+___"", ""meaning"": ""người liên quan bệnh"", ""wordIds"": [""w-bingren""]}, {""formula"": ""___+病"", ""meaning"": ""động từ liên quan đến bệnh"", ""wordIds"": [""w-shengbing"", ""w-kanbing""]}]"
r-yi2,医,yī,y,HSK1,t-hsk1-suckhoe,"[{""formula"": ""医+___"", ""meaning"": ""liên quan đến y tế"", ""wordIds"": [""w-yisheng"", ""w-yiyuan""]}]"
r-ci,次,cì,thứ,HSK1,t-hsk1-thoigian,"[{""formula"": ""___+次"", ""meaning"": ""thứ tự lần lượt"", ""wordIds"": [""w-shangci"", ""w-xiaci""]}]"
r-ban2,半,bàn,bán,HSK1,t-hsk1-thoigian,"[{""formula"": ""半+___"", ""meaning"": ""một nửa khoảng thời gian nhất định"", ""wordIds"": [""w-bannian""]}, {""formula"": ""___+半"", ""meaning"": ""phân nửa / một phần hai"", ""wordIds"": [""w-yiban""]}]"
r-jin,今,jīn,kim,HSK1,t-hsk1-thoigian,"[{""formula"": ""今+___"", ""meaning"": ""thời điểm hiện tại"", ""wordIds"": [""w-jintian"", ""w-jinnian""]}]"
r-ming,明,míng,minh,HSK1,t-hsk1-thoigian,"[{""formula"": ""明+___"", ""meaning"": ""thời điểm, thời gian trong tương lai"", ""wordIds"": [""w-mingtian"", ""w-mingnian""]}]"
r-nian,年,nián,niên,HSK1,t-hsk1-thoigian,"[{""formula"": ""___+年"", ""meaning"": ""thời gian năm / niên hạn"", ""wordIds"": [""w-jinnian"", ""w-bannian"", ""w-qunian"", ""w-mingnian""]}]"
r-qi2,期,qī,kỳ,HSK1,t-hsk1-thoigian,"[{""formula"": ""___+期"", ""meaning"": ""thời gian / kỳ hạn"", ""wordIds"": [""w-riqi"", ""w-xingqi"", ""w-xingqitian"", ""w-xingqiri""]}]"
r-ri,日,rì,nhật,HSK1,t-hsk1-thoigian,"[{""formula"": ""日+___"", ""meaning"": ""thời gian / ngày tháng"", ""wordIds"": [""w-riqi""]}, {""formula"": ""___+日"", ""meaning"": ""ngày trong tuần"", ""wordIds"": [""w-xingqiri""]}]"
r-shi,时,shí,thời,HSK1,t-hsk1-thoigian,"[{""formula"": ""时+___"", ""meaning"": ""thời gian, thời điểm"", ""wordIds"": [""w-shijian"", ""w-shihou""]}, {""formula"": ""___+时"", ""meaning"": ""đơn vị thời gian"", ""wordIds"": [""w-xiaoshi""]}]"
r-tian,天,tiān,thiên,HSK1,t-hsk1-thoigian,"[{""formula"": ""___+天"", ""meaning"": ""ngày / thời gian"", ""wordIds"": [""w-jintian"", ""w-mingtian"", ""w-xingqitian"", ""w-zuotian""]}]"
r-wan2,晚,wǎn,vãn,HSK1,t-hsk1-thoigian,"[{""formula"": ""晚+___"", ""meaning"": ""liên quan tới khoảng thời gian buổi tối"", ""wordIds"": [""w-wanshang"", ""w-wanfan""]}]"
r-wu,午,wǔ,ngọ,HSK1,t-hsk1-thoigian,"[{""formula"": ""___+午"", ""meaning"": ""thời gian trong ngày"", ""wordIds"": [""w-shangwu"", ""w-xiawu"", ""w-zhongwu""]}]"
r-xingqi,星期,xīng qī,tinh kỳ,HSK1,t-hsk1-thoigian,"[{""formula"": ""星期+___"", ""meaning"": ""ngày trong tuần"", ""wordIds"": [""w-xingqitian"", ""w-xingqiri""]}]"
r-zao,早,zǎo,tảo,HSK1,t-hsk1-thoigian,"[{""formula"": ""早+___"", ""meaning"": ""liên quan tới khoảng thời gian buổi sáng"", ""wordIds"": [""w-zaoshang"", ""w-zaofan""]}]"
